year,conspiracy_qanon,far_right_extremism,incel_misogyny,meme_internet_culture,platform_tech,politics_elections,violence_crime
2017,1,3,0,0,2,1,11
2018,3,5,6,1,2,4,4
2019,0,14,16,11,7,1,17
2020,16,1,4,5,1,5,2
2021,3,6,1,3,5,0,2
2022,1,11,1,0,0,4,3
2023,0,5,0,2,1,0,0
2024,1,1,0,1,2,6,1
2025,0,2,1,3,3,2,2
2026,0,3,0,11,0,0,1
